,Actual,Predicted
571,neutral,neutral
3527,negative,positive
3118,neutral,neutral
6026,negative,neutral
2711,negative,negative
5638,negative,negative
3052,negative,negative
7420,neutral,negative
5111,negative,negative
13597,negative,negative
10578,negative,negative
4539,neutral,neutral
874,negative,negative
8636,positive,neutral
12418,neutral,neutral
8974,positive,positive
12343,negative,negative
2263,negative,negative
2091,negative,negative
13069,negative,negative
1577,positive,positive
3820,negative,negative
13323,positive,positive
14494,negative,negative
9484,negative,positive
9782,negative,negative
9599,neutral,negative
4053,positive,positive
6518,neutral,negative
5831,neutral,neutral
5841,negative,neutral
9592,negative,negative
12358,negative,negative
12615,positive,neutral
730,negative,positive
1255,negative,negative
8290,neutral,negative
2600,negative,negative
3728,negative,negative
13906,negative,negative
6238,neutral,neutral
10846,negative,neutral
10650,negative,negative
4485,neutral,neutral
14321,negative,negative
11362,negative,negative
10335,negative,negative
1105,neutral,negative
12588,negative,negative
8752,negative,negative
6405,positive,neutral
10192,negative,negative
784,neutral,negative
12300,negative,negative
6536,negative,negative
3204,negative,negative
9697,negative,negative
7524,positive,positive
8877,neutral,negative
5963,negative,negative
2795,neutral,negative
6553,negative,negative
12709,neutral,negative
8366,negative,negative
772,negative,negative
4627,neutral,negative
8663,positive,negative
4499,positive,positive
2852,negative,negative
11674,negative,negative
2299,negative,negative
8025,negative,negative
11433,negative,positive
11565,negative,negative
6368,neutral,neutral
10734,negative,negative
9303,negative,negative
1723,negative,negative
6847,negative,neutral
1656,negative,negative
10551,negative,negative
6357,neutral,negative
5947,negative,negative
12924,neutral,neutral
11188,negative,negative
12105,negative,negative
6234,neutral,neutral
1367,negative,negative
8331,negative,negative
8316,negative,negative
9506,negative,negative
1696,negative,neutral
14090,negative,negative
3137,positive,positive
5835,negative,negative
6526,neutral,neutral
2992,negative,negative
9959,negative,positive
8394,positive,neutral
5288,negative,negative
9866,negative,negative
11757,negative,negative
2376,negative,negative
7481,positive,neutral
4353,negative,negative
3091,negative,negative
13008,negative,negative
755,negative,negative
1718,negative,neutral
11500,negative,negative
4223,negative,negative
10495,neutral,positive
9143,negative,positive
8276,positive,negative
13449,negative,negative
5751,negative,negative
6272,positive,positive
275,neutral,neutral
14363,positive,neutral
12458,negative,negative
2034,negative,negative
3262,negative,negative
9089,negative,negative
11547,negative,neutral
3670,negative,negative
5084,positive,positive
3233,negative,negative
9009,negative,negative
7031,neutral,neutral
4116,negative,positive
12383,negative,negative
10937,negative,negative
12967,negative,negative
2576,positive,negative
12159,positive,positive
1227,neutral,neutral
9214,negative,negative
9712,negative,negative
5191,positive,neutral
7469,positive,positive
5877,neutral,negative
10306,negative,negative
7696,negative,negative
9816,negative,negative
3898,negative,neutral
2863,negative,negative
11666,positive,neutral
9543,negative,negative
10203,negative,negative
9628,negative,negative
10757,negative,negative
3588,neutral,neutral
11375,negative,negative
6148,positive,positive
5936,neutral,neutral
10997,negative,negative
9217,negative,negative
7664,neutral,negative
11207,negative,negative
7541,positive,positive
964,neutral,neutral
1784,negative,negative
1018,negative,negative
277,positive,negative
3556,negative,negative
5331,negative,neutral
6546,negative,negative
7272,negative,negative
3547,neutral,negative
1740,negative,positive
8031,negative,negative
7393,neutral,negative
5948,negative,negative
399,negative,negative
12685,negative,negative
12039,negative,neutral
5457,negative,negative
11728,negative,neutral
5036,negative,negative
13395,negative,negative
6099,negative,positive
4243,negative,negative
8603,neutral,negative
1510,neutral,neutral
10474,negative,negative
12024,positive,positive
13713,negative,negative
12735,positive,positive
5525,neutral,neutral
2793,negative,negative
9651,negative,negative
12896,negative,negative
4405,negative,negative
6938,positive,positive
9702,negative,negative
3413,negative,negative
14395,negative,negative
4036,negative,negative
3042,negative,negative
13795,negative,negative
2246,neutral,negative
13852,negative,negative
746,negative,negative
3009,negative,negative
8181,positive,positive
5768,positive,positive
6328,neutral,negative
1352,positive,negative
5894,positive,positive
12294,neutral,neutral
13997,neutral,neutral
6182,neutral,neutral
9119,negative,negative
5746,positive,positive
2069,negative,negative
8240,negative,negative
10954,negative,negative
7389,negative,negative
4530,positive,positive
11707,negative,negative
14617,positive,positive
11931,positive,positive
109,positive,positive
854,positive,positive
7456,neutral,neutral
276,positive,positive
13113,negative,negative
114,positive,neutral
1249,negative,positive
3306,negative,negative
14324,negative,negative
521,positive,neutral
4389,negative,positive
2463,negative,negative
9446,negative,negative
13654,negative,negative
5971,neutral,negative
7624,negative,negative
6532,negative,negative
7039,neutral,negative
3733,negative,negative
6033,negative,neutral
1472,negative,negative
6145,positive,positive
2873,negative,negative
7099,neutral,neutral
6729,negative,negative
4902,neutral,neutral
1477,positive,positive
3211,neutral,negative
12639,negative,negative
10004,negative,negative
1152,negative,neutral
10411,negative,negative
1983,negative,negative
9129,negative,negative
8097,positive,positive
11183,negative,negative
4736,neutral,neutral
13067,negative,negative
13416,negative,negative
5717,negative,positive
5888,negative,negative
3599,negative,negative
3740,negative,negative
10567,positive,negative
9807,negative,negative
9434,negative,negative
5273,neutral,negative
5764,negative,positive
718,negative,negative
11224,neutral,negative
7502,negative,negative
4897,negative,neutral
6382,negative,negative
9110,neutral,negative
1166,negative,negative
9784,negative,negative
7120,negative,neutral
1648,positive,positive
12787,negative,negative
13205,neutral,negative
963,negative,negative
9720,negative,negative
10655,negative,negative
9878,negative,negative
13881,negative,negative
4920,negative,negative
11915,positive,positive
1786,negative,negative
6049,neutral,neutral
8346,negative,negative
10745,negative,negative
6239,positive,neutral
13512,negative,negative
12701,negative,negative
8408,neutral,negative
9297,negative,negative
790,negative,negative
4731,neutral,negative
1795,neutral,positive
10784,negative,negative
11554,negative,negative
3394,neutral,neutral
13944,neutral,neutral
10138,negative,negative
9934,negative,negative
5254,neutral,neutral
12616,negative,negative
10965,positive,positive
5058,negative,negative
2976,negative,negative
9822,negative,negative
6587,neutral,neutral
12261,neutral,negative
7128,positive,negative
14187,negative,negative
11810,neutral,negative
13883,negative,negative
5001,negative,negative
9092,negative,negative
2872,negative,negative
1487,negative,neutral
1804,negative,neutral
970,negative,negative
6058,negative,negative
13209,neutral,negative
8196,positive,positive
11709,negative,neutral
4899,positive,positive
6869,negative,negative
13351,neutral,neutral
14369,negative,negative
14254,neutral,negative
13193,negative,negative
11602,negative,negative
9593,negative,negative
7918,neutral,negative
2247,negative,negative
12703,positive,positive
9991,negative,negative
3899,neutral,neutral
11775,neutral,negative
2285,positive,positive
2392,positive,positive
487,negative,negative
3239,neutral,negative
4878,positive,neutral
5219,negative,neutral
14139,negative,negative
4965,negative,negative
3573,negative,negative
13494,positive,neutral
0,neutral,negative
5196,negative,negative
9940,negative,negative
10483,neutral,negative
5477,negative,negative
6625,negative,negative
1475,negative,negative
14032,neutral,negative
9306,negative,neutral
14301,negative,negative
8359,negative,negative
3642,negative,negative
6437,positive,positive
5282,neutral,negative
8717,positive,negative
11231,negative,negative
2789,positive,positive
1869,neutral,negative
5442,neutral,neutral
6102,positive,positive
12235,positive,negative
11059,negative,negative
7725,positive,negative
12048,negative,negative
11790,neutral,negative
12183,neutral,neutral
5346,negative,negative
14322,positive,positive
7980,neutral,positive
8387,negative,negative
2041,negative,negative
13052,neutral,neutral
2552,positive,positive
7187,negative,negative
9722,negative,negative
3206,negative,negative
10996,negative,negative
1344,positive,positive
46,neutral,neutral
401,positive,negative
6471,negative,negative
513,negative,negative
1944,negative,negative
80,negative,negative
13854,negative,negative
1387,positive,positive
1322,negative,negative
5580,positive,negative
1975,negative,negative
8150,negative,negative
6277,negative,negative
6193,neutral,neutral
4849,negative,negative
12355,positive,positive
10679,negative,negative
1759,negative,negative
1323,negative,negative
13282,negative,negative
7375,negative,negative
12020,negative,negative
14551,negative,negative
7700,negative,negative
549,neutral,neutral
11063,neutral,neutral
13076,negative,negative
819,negative,negative
1692,negative,negative
5173,negative,negative
7676,neutral,neutral
2738,negative,negative
10625,negative,negative
738,negative,negative
14104,positive,positive
1941,negative,negative
8039,neutral,neutral
10438,negative,negative
14268,neutral,positive
1863,negative,negative
6344,negative,negative
11520,neutral,neutral
9598,neutral,neutral
6236,neutral,negative
8165,negative,negative
4975,negative,neutral
7088,neutral,neutral
2391,negative,neutral
14299,negative,positive
8993,positive,positive
6298,positive,negative
7098,positive,neutral
4037,neutral,negative
693,negative,neutral
10362,negative,negative
14078,positive,negative
5553,positive,negative
8773,negative,negative
6858,neutral,negative
10865,neutral,positive
1934,neutral,negative
9491,negative,negative
8012,neutral,neutral
13219,negative,negative
2139,negative,negative
11970,negative,negative
8508,negative,neutral
7563,positive,negative
14278,positive,positive
9948,negative,negative
3252,negative,neutral
8666,positive,negative
457,negative,negative
5289,negative,negative
1671,negative,negative
7055,neutral,negative
4596,negative,neutral
667,negative,negative
9015,negative,negative
10648,negative,negative
13517,negative,negative
6524,neutral,neutral
11569,negative,negative
3285,neutral,negative
877,positive,positive
7809,negative,negative
9164,negative,negative
11009,negative,negative
14227,negative,negative
3497,neutral,neutral
6086,neutral,neutral
1128,neutral,negative
5735,neutral,negative
7828,positive,positive
2248,negative,negative
6158,negative,neutral
4502,negative,negative
1989,negative,negative
14476,negative,negative
3532,negative,negative
12052,neutral,neutral
9674,negative,negative
713,negative,negative
12161,negative,negative
4858,neutral,neutral
14415,positive,positive
5075,negative,negative
1918,negative,negative
3594,negative,negative
12064,positive,positive
5667,negative,negative
10381,neutral,neutral
3708,negative,negative
9916,negative,negative
14075,neutral,neutral
4014,negative,negative
10405,positive,negative
11703,negative,negative
1633,positive,positive
920,negative,negative
12871,neutral,neutral
5752,positive,positive
11759,negative,negative
2470,negative,positive
2214,negative,negative
4860,positive,positive
9160,negative,negative
3901,negative,negative
2197,negative,negative
607,positive,neutral
1307,negative,negative
4994,negative,neutral
2518,negative,negative
2115,neutral,neutral
5540,negative,neutral
246,positive,positive
11491,negative,negative
9794,negative,negative
4381,neutral,negative
9316,neutral,negative
6232,neutral,positive
8516,negative,negative
4575,positive,positive
10685,positive,negative
14293,negative,negative
9299,negative,negative
4553,negative,negative
7641,negative,negative
1741,negative,negative
1739,negative,negative
8236,neutral,neutral
1574,negative,negative
2201,negative,negative
4636,neutral,negative
7574,negative,negative
10286,negative,negative
5905,negative,neutral
9223,neutral,positive
4662,positive,positive
2731,negative,neutral
4896,positive,negative
1422,negative,negative
11771,neutral,neutral
6342,negative,negative
2995,positive,negative
11206,negative,negative
8825,negative,negative
12142,negative,negative
11273,negative,negative
5742,positive,negative
12308,negative,negative
1010,negative,negative
4943,negative,neutral
209,negative,negative
10956,neutral,neutral
9932,negative,negative
984,negative,negative
13000,negative,negative
13334,negative,negative
14064,negative,negative
10354,negative,negative
6834,neutral,neutral
12984,negative,negative
4207,negative,neutral
3115,positive,positive
10616,negative,negative
8538,neutral,negative
3276,positive,positive
13474,negative,negative
12773,negative,negative
3159,negative,negative
6509,negative,negative
9480,negative,negative
3829,positive,positive
14277,neutral,neutral
4359,neutral,neutral
9063,negative,negative
10740,negative,negative
6605,positive,negative
4792,neutral,neutral
5278,negative,negative
5776,negative,neutral
12529,negative,negative
14348,neutral,negative
1310,neutral,positive
4274,neutral,positive
5534,neutral,neutral
13901,negative,negative
13089,negative,negative
13185,positive,positive
9902,negative,negative
3355,negative,neutral
8760,negative,neutral
5379,negative,negative
2920,negative,negative
8054,negative,neutral
2770,negative,negative
4415,negative,negative
11946,negative,negative
1688,negative,negative
10869,positive,positive
4895,neutral,negative
11404,negative,neutral
4796,negative,negative
9980,negative,negative
6723,positive,positive
8901,negative,negative
12423,positive,positive
3609,neutral,negative
3327,neutral,neutral
5645,positive,neutral
3425,negative,negative
7701,negative,negative
11630,negative,negative
10942,positive,negative
13015,negative,negative
674,negative,negative
5684,neutral,positive
1522,negative,negative
11900,negative,negative
14393,negative,negative
8135,neutral,negative
8774,negative,negative
7506,positive,positive
5500,negative,negative
9621,negative,negative
2464,negative,negative
5200,neutral,neutral
11611,positive,positive
6275,neutral,neutral
3557,negative,negative
13165,negative,negative
315,neutral,negative
12881,negative,negative
5164,negative,negative
10640,neutral,neutral
2336,negative,negative
1005,neutral,neutral
7621,positive,positive
504,positive,positive
3246,negative,negative
13548,negative,negative
13265,negative,negative
12869,negative,neutral
7956,negative,negative
9043,negative,negative
1839,negative,negative
12888,negative,negative
1632,negative,negative
1874,positive,positive
13378,negative,negative
9416,negative,negative
350,negative,negative
788,neutral,neutral
898,negative,negative
5205,negative,negative
3608,negative,negative
6285,neutral,positive
7777,negative,negative
7231,negative,negative
647,neutral,negative
11037,negative,negative
1833,negative,negative
4645,positive,positive
11472,negative,negative
14594,negative,negative
4430,negative,negative
10847,neutral,negative
2547,neutral,negative
8580,neutral,neutral
12200,neutral,negative
12582,negative,negative
4075,negative,negative
6717,negative,negative
4078,positive,positive
11116,neutral,negative
5190,negative,negative
7494,neutral,neutral
5,negative,negative
3880,negative,neutral
11633,negative,negative
11329,negative,negative
8826,neutral,neutral
12606,neutral,negative
10905,neutral,neutral
13298,negative,negative
1300,negative,neutral
7995,negative,negative
9057,neutral,negative
1586,negative,negative
9572,neutral,negative
14474,negative,negative
13036,negative,negative
11572,negative,negative
243,negative,negative
10560,negative,negative
11056,negative,negative
9608,neutral,negative
1356,negative,negative
12672,negative,negative
5902,neutral,neutral
3507,positive,negative
6550,neutral,neutral
2649,negative,negative
10612,negative,negative
14403,neutral,negative
1361,neutral,negative
3643,neutral,negative
3268,negative,neutral
10767,negative,negative
5285,negative,negative
1615,negative,negative
10440,negative,negative
2644,neutral,neutral
7545,negative,negative
8412,positive,positive
1112,neutral,neutral
3720,negative,negative
11645,negative,negative
3441,negative,negative
4041,positive,neutral
7665,neutral,negative
1826,negative,negative
11717,negative,negative
2678,positive,negative
6899,negative,negative
1374,negative,negative
12507,negative,negative
6610,negative,negative
10320,negative,negative
11464,positive,positive
2335,negative,neutral
10768,negative,negative
1204,negative,negative
10089,negative,negative
10161,positive,negative
12154,negative,negative
483,neutral,negative
5416,positive,negative
12404,negative,negative
12004,neutral,positive
6713,positive,positive
9337,negative,negative
2642,negative,negative
9711,negative,negative
14022,positive,neutral
248,positive,negative
3045,negative,negative
9342,negative,neutral
14073,positive,positive
12461,negative,neutral
8382,negative,negative
4711,negative,negative
8747,negative,neutral
9363,negative,negative
537,negative,negative
7265,neutral,negative
692,neutral,neutral
9669,negative,neutral
2916,positive,negative
936,negative,negative
5262,neutral,negative
7824,neutral,negative
2870,negative,negative
3094,negative,negative
1219,negative,negative
7171,positive,positive
13013,positive,positive
7405,negative,neutral
4666,positive,negative
13666,negative,negative
11947,negative,negative
12233,negative,negative
3721,negative,negative
1330,negative,negative
9195,negative,negative
14456,negative,neutral
12877,negative,negative
9549,negative,negative
7054,neutral,neutral
11186,positive,positive
4766,neutral,negative
5357,negative,negative
9197,negative,negative
6023,neutral,negative
13203,neutral,neutral
1792,negative,negative
14362,negative,negative
11929,negative,negative
6135,negative,negative
9096,negative,negative
7501,negative,negative
14099,neutral,negative
6700,negative,negative
7313,neutral,neutral
7040,positive,neutral
6820,positive,negative
10941,negative,negative
2961,negative,neutral
9516,negative,negative
14358,negative,negative
2811,negative,negative
12726,positive,positive
6119,positive,positive
10548,negative,negative
3796,negative,negative
7934,neutral,negative
5311,negative,negative
12186,positive,positive
2667,negative,negative
13721,neutral,neutral
3080,negative,negative
7142,negative,negative
9468,negative,negative
6403,negative,negative
4802,negative,negative
13832,neutral,neutral
14506,negative,negative
7635,neutral,negative
4865,neutral,neutral
9862,negative,negative
1752,negative,neutral
5176,positive,negative
2179,negative,negative
10448,negative,negative
5960,neutral,neutral
12244,negative,negative
13723,negative,negative
12768,negative,negative
3138,positive,positive
12546,positive,negative
5020,negative,negative
525,neutral,negative
6093,neutral,negative
14068,negative,negative
11634,negative,negative
2538,negative,negative
2074,negative,negative
3445,neutral,negative
11962,neutral,neutral
4915,negative,negative
11385,neutral,neutral
9427,negative,negative
3725,negative,neutral
2012,neutral,positive
1001,negative,positive
6463,positive,positive
8541,neutral,neutral
14230,neutral,negative
1523,negative,negative
10204,positive,positive
1580,neutral,neutral
6358,positive,negative
11856,positive,positive
10874,negative,negative
1860,negative,negative
6254,neutral,negative
13719,neutral,neutral
8656,neutral,neutral
5995,neutral,negative
946,negative,negative
12051,negative,negative
6864,neutral,neutral
3522,neutral,neutral
9117,negative,negative
13393,negative,neutral
7152,neutral,neutral
4651,positive,positive
11570,negative,negative
6421,neutral,neutral
8375,negative,negative
10669,negative,negative
10205,negative,negative
12253,negative,negative
523,negative,negative
7889,neutral,negative
1147,negative,negative
14424,negative,negative
10917,negative,negative
4429,negative,negative
4375,positive,neutral
4876,positive,positive
14529,positive,positive
3087,negative,negative
3284,negative,negative
2590,negative,negative
11687,negative,negative
9400,negative,negative
8286,neutral,negative
5414,negative,negative
12797,negative,negative
8609,positive,negative
4220,negative,negative
14100,negative,negative
5257,negative,negative
1047,positive,positive
8530,neutral,negative
10169,negative,negative
11332,negative,negative
12820,negative,negative
12028,negative,negative
6874,positive,positive
5533,neutral,negative
14208,negative,negative
8819,negative,negative
13450,negative,negative
13204,negative,negative
8477,neutral,negative
13843,negative,negative
4863,positive,neutral
2664,negative,negative
2659,negative,negative
646,negative,positive
7430,negative,neutral
11199,negative,negative
9093,negative,negative
12446,negative,negative
6273,positive,positive
8595,negative,neutral
181,negative,negative
14132,negative,neutral
2848,positive,positive
535,neutral,negative
1624,negative,negative
4382,positive,positive
4571,neutral,neutral
8133,positive,positive
5336,negative,negative
827,negative,negative
12270,neutral,neutral
9636,negative,negative
3981,positive,negative
13489,negative,negative
2546,neutral,negative
11921,negative,negative
12624,negative,negative
175,neutral,positive
4029,neutral,negative
8551,neutral,negative
1158,neutral,negative
4286,positive,negative
10535,negative,negative
5065,neutral,neutral
2095,negative,negative
1649,negative,negative
12102,positive,positive
13767,neutral,negative
6129,neutral,negative
13201,neutral,negative
7981,neutral,neutral
13374,negative,negative
2761,negative,negative
7834,positive,positive
7835,neutral,neutral
9966,negative,negative
573,negative,negative
162,negative,neutral
5021,negative,negative
11108,neutral,negative
8518,negative,negative
10318,negative,negative
5424,negative,negative
760,neutral,neutral
5557,positive,neutral
4584,negative,neutral
9591,negative,positive
6324,negative,neutral
11943,neutral,neutral
12919,negative,negative
467,positive,positive
7747,positive,positive
1554,neutral,neutral
8014,positive,neutral
2082,negative,negative
1420,negative,negative
14597,negative,negative
12328,negative,neutral
12504,negative,negative
3034,neutral,neutral
4456,neutral,neutral
6615,negative,negative
14244,negative,negative
6133,neutral,neutral
9987,negative,negative
7893,neutral,neutral
4867,positive,positive
4726,neutral,negative
3242,neutral,neutral
2841,neutral,positive
6111,positive,positive
12859,neutral,neutral
5034,neutral,positive
4884,positive,neutral
6623,negative,negative
10646,negative,negative
751,negative,neutral
11800,negative,negative
12471,negative,negative
4349,neutral,neutral
9116,negative,negative
4925,neutral,negative
10038,negative,negative
7713,negative,negative
2044,negative,negative
2535,negative,negative
1043,negative,negative
2236,negative,negative
7967,negative,negative
11345,negative,negative
14286,negative,negative
2049,negative,negative
3370,negative,negative
4280,positive,negative
1754,negative,negative
10532,positive,positive
862,negative,negative
12035,negative,negative
1685,negative,negative
6343,positive,negative
4253,positive,negative
10329,positive,positive
13305,positive,positive
9671,negative,negative
5243,negative,negative
575,negative,negative
5665,positive,positive
4720,negative,neutral
1280,negative,negative
10724,negative,negative
10454,neutral,negative
10494,neutral,negative
11047,negative,negative
11595,positive,positive
9901,negative,negative
4656,positive,negative
8665,positive,negative
13587,negative,negative
506,negative,negative
2633,positive,negative
10034,negative,negative
7907,negative,negative
1429,negative,negative
7165,positive,neutral
13280,positive,positive
5033,positive,negative
4780,neutral,negative
7110,negative,positive
4957,neutral,positive
10036,negative,negative
4459,negative,negative
14361,negative,negative
3544,negative,negative
3807,negative,negative
8794,negative,negative
10250,negative,negative
2242,neutral,negative
11269,negative,negative
4923,positive,negative
5929,neutral,neutral
2056,negative,negative
11695,negative,negative
4599,negative,neutral
1605,negative,negative
7370,neutral,negative
6325,negative,negative
1559,neutral,negative
7149,negative,neutral
13965,positive,positive
8604,positive,positive
2858,negative,negative
3219,negative,negative
2937,negative,negative
2907,neutral,neutral
2107,negative,negative
4964,positive,neutral
12318,negative,negative
3895,positive,positive
8885,negative,negative
717,negative,negative
3927,neutral,neutral
2654,neutral,positive
3655,negative,neutral
11410,negative,positive
8679,negative,negative
7063,neutral,neutral
12795,negative,negative
3840,negative,neutral
4177,neutral,neutral
2652,negative,negative
110,neutral,positive
11060,negative,negative
8325,neutral,negative
6060,negative,negative
8754,negative,neutral
14011,neutral,negative
9695,negative,negative
11789,negative,negative
697,negative,negative
3568,negative,negative
1144,negative,negative
471,neutral,neutral
11746,negative,negative
9759,negative,negative
3892,neutral,neutral
516,positive,positive
8428,neutral,neutral
8552,neutral,positive
14411,negative,negative
10009,negative,negative
1914,negative,negative
6964,neutral,neutral
9748,negative,negative
5821,positive,positive
9503,positive,positive
2145,negative,neutral
7071,neutral,neutral
12482,negative,negative
6819,neutral,negative
901,negative,negative
13033,positive,positive
12605,neutral,neutral
138,positive,positive
3996,positive,positive
13064,neutral,positive
12933,neutral,negative
11635,negative,negative
10277,negative,negative
7588,negative,neutral
9912,neutral,negative
1386,negative,negative
4213,negative,negative
6696,negative,negative
5447,negative,negative
3461,negative,negative
2156,neutral,neutral
7982,neutral,positive
5015,neutral,neutral
8275,positive,positive
7070,neutral,neutral
3993,negative,negative
3705,negative,negative
3381,negative,negative
8823,negative,negative
11420,negative,neutral
11934,neutral,neutral
8422,negative,negative
12880,neutral,neutral
1126,negative,negative
6068,negative,negative
4578,positive,neutral
671,negative,negative
8571,negative,negative
2003,neutral,negative
1747,negative,negative
11257,positive,neutral
7190,neutral,neutral
14311,negative,negative
815,negative,negative
7403,negative,negative
734,negative,negative
7819,neutral,neutral
13692,negative,negative
1946,negative,negative
2243,negative,negative
7999,positive,positive
9078,negative,negative
7118,neutral,neutral
13253,negative,neutral
11689,negative,negative
8146,neutral,negative
11173,negative,negative
12304,negative,negative
8306,negative,negative
5852,positive,positive
9797,negative,negative
5400,negative,negative
7630,negative,negative
6126,positive,negative
2038,negative,neutral
6541,negative,neutral
13914,negative,negative
4045,negative,negative
2439,negative,negative
7103,neutral,neutral
5410,neutral,negative
13577,negative,positive
8904,neutral,neutral
2588,neutral,negative
10994,negative,negative
11951,negative,positive
3399,negative,negative
13785,positive,positive
7601,negative,negative
3676,negative,negative
13208,negative,negative
4127,negative,negative
4173,neutral,negative
10292,negative,negative
10488,positive,positive
6091,neutral,neutral
12058,negative,negative
12905,negative,negative
7443,positive,positive
14084,negative,negative
10990,positive,neutral
9077,negative,negative
11849,negative,negative
3156,negative,positive
1130,negative,negative
5664,positive,negative
2177,negative,negative
1653,neutral,negative
2622,positive,neutral
3263,negative,negative
1890,negative,negative
11651,neutral,negative
1695,negative,negative
8817,positive,positive
8038,positive,neutral
11833,neutral,neutral
11855,negative,neutral
10110,negative,negative
12863,negative,negative
10109,negative,negative
3158,neutral,negative
12954,positive,positive
8951,neutral,negative
7776,neutral,neutral
4877,neutral,neutral
7027,negative,neutral
1720,negative,negative
3325,negative,neutral
14264,negative,negative
3001,negative,negative
588,negative,negative
10835,positive,negative
817,negative,negative
13370,positive,positive
13098,positive,positive
13799,negative,negative
3420,neutral,neutral
7396,neutral,neutral
10311,negative,negative
3036,positive,neutral
3742,negative,negative
5550,negative,neutral
5854,negative,neutral
12234,neutral,neutral
7719,positive,positive
14024,negative,negative
284,neutral,neutral
3939,negative,negative
10409,negative,negative
8310,neutral,negative
13499,neutral,negative
6565,negative,negative
1691,negative,neutral
12122,negative,positive
10152,negative,negative
13989,negative,positive
13044,neutral,neutral
9796,negative,negative
3333,positive,positive
13344,negative,negative
2409,neutral,negative
6497,negative,positive
2809,negative,negative
11497,negative,negative
13983,negative,negative
5443,neutral,neutral
1894,neutral,negative
4987,positive,positive
10406,negative,negative
2011,neutral,negative
12691,negative,negative
11338,neutral,negative
1913,negative,negative
11438,negative,neutral
8861,positive,neutral
7089,neutral,neutral
7263,negative,positive
14239,negative,negative
10984,positive,positive
1620,negative,negative
6984,neutral,negative
10290,negative,positive
2979,positive,negative
12195,negative,negative
6732,negative,negative
14510,negative,negative
1451,negative,negative
4868,negative,negative
10126,negative,negative
12179,negative,negative
3948,neutral,negative
4767,neutral,neutral
993,negative,negative
8224,positive,positive
4640,positive,neutral
10989,negative,negative
12043,negative,negative
12501,positive,positive
690,positive,negative
5817,negative,neutral
2862,negative,negative
11631,negative,neutral
11157,neutral,neutral
794,neutral,positive
1643,negative,negative
7707,positive,negative
1403,negative,negative
6665,neutral,neutral
2429,negative,neutral
1259,negative,negative
4433,neutral,negative
12219,neutral,neutral
169,neutral,neutral
3932,negative,negative
6883,negative,negative
2823,neutral,negative
9699,negative,neutral
8676,positive,positive
3479,positive,positive
7275,positive,negative
9298,negative,negative
8802,positive,neutral
7584,negative,negative
9935,negative,negative
